"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"04.01.2022 19:30 - 04.01.2022 19:45","15044","14922"
"04.01.2022 19:45 - 04.01.2022 20:00","14954","14840"
"04.01.2022 20:00 - 04.01.2022 20:15","14731","14580"
"04.01.2022 20:15 - 04.01.2022 20:30","14526","14388"
"04.01.2022 20:30 - 04.01.2022 20:45","14340","14180"
"04.01.2022 20:45 - 04.01.2022 21:00","14155","14011"
"04.01.2022 21:00 - 04.01.2022 21:15","13965","13799"
"04.01.2022 21:15 - 04.01.2022 21:30","13848","13685"
"04.01.2022 21:30 - 04.01.2022 21:45","13649","13500"
"04.01.2022 21:45 - 04.01.2022 22:00","13456","13357"
"04.01.2022 22:00 - 04.01.2022 22:15","13241","13156"
"04.01.2022 22:15 - 04.01.2022 22:30","13086","13017"
"04.01.2022 22:30 - 04.01.2022 22:45","12869","12847"
"04.01.2022 22:45 - 04.01.2022 23:00","12657","12648"
"04.01.2022 23:00 - 04.01.2022 23:15","12513","12582"
"04.01.2022 23:15 - 04.01.2022 23:30","12358","12292"
"04.01.2022 23:30 - 04.01.2022 23:45","12168","12106"
"04.01.2022 23:45 - 05.01.2022 00:00","11940","11935"
"05.01.2022 00:00 - 05.01.2022 00:15","11811","11838"
"05.01.2022 00:15 - 05.01.2022 00:30","11650","11694"
"05.01.2022 00:30 - 05.01.2022 00:45","11520","11578"
"05.01.2022 00:45 - 05.01.2022 01:00","11394","11470"
"05.01.2022 01:00 - 05.01.2022 01:15","11288","11340"
"05.01.2022 01:15 - 05.01.2022 01:30","11215","11194"
"05.01.2022 01:30 - 05.01.2022 01:45","11102","11146"
"05.01.2022 01:45 - 05.01.2022 02:00","11068","11100"
"05.01.2022 02:00 - 05.01.2022 02:15","11035","11102"
"05.01.2022 02:15 - 05.01.2022 02:30","10968","11123"
"05.01.2022 02:30 - 05.01.2022 02:45","10920","11073"
"05.01.2022 02:45 - 05.01.2022 03:00","10896","11038"
"05.01.2022 03:00 - 05.01.2022 03:15","10906","11083"
"05.01.2022 03:15 - 05.01.2022 03:30","10907","11041"
"05.01.2022 03:30 - 05.01.2022 03:45","10893","11054"
"05.01.2022 03:45 - 05.01.2022 04:00","10879","10998"
"05.01.2022 04:00 - 05.01.2022 04:15","10877","11056"
"05.01.2022 04:15 - 05.01.2022 04:30","10909","11103"
"05.01.2022 04:30 - 05.01.2022 04:45","10956","11148"
"05.01.2022 04:45 - 05.01.2022 05:00","11005","11179"
"05.01.2022 05:00 - 05.01.2022 05:15","11117","11309"
"05.01.2022 05:15 - 05.01.2022 05:30","11220","11367"
"05.01.2022 05:30 - 05.01.2022 05:45","11376","11510"
"05.01.2022 05:45 - 05.01.2022 06:00","11568","11549"
"05.01.2022 06:00 - 05.01.2022 06:15","11879","11832"
"05.01.2022 06:15 - 05.01.2022 06:30","12171","12062"
"05.01.2022 06:30 - 05.01.2022 06:45","12469","12298"
"05.01.2022 06:45 - 05.01.2022 07:00","12770","12600"
"05.01.2022 07:00 - 05.01.2022 07:15","13182","13036"
"05.01.2022 07:15 - 05.01.2022 07:30","13558","13359"
"05.01.2022 07:30 - 05.01.2022 07:45","13934","13734"
"05.01.2022 07:45 - 05.01.2022 08:00","14283","14079"
"05.01.2022 08:00 - 05.01.2022 08:15","14673","14362"
"05.01.2022 08:15 - 05.01.2022 08:30","14945","14595"
"05.01.2022 08:30 - 05.01.2022 08:45","15129","14809"
"05.01.2022 08:45 - 05.01.2022 09:00","15248","14875"
"05.01.2022 09:00 - 05.01.2022 09:15","15391","15074"
"05.01.2022 09:15 - 05.01.2022 09:30","15429","15181"
"05.01.2022 09:30 - 05.01.2022 09:45","15372","15239"
"05.01.2022 09:45 - 05.01.2022 10:00","15363","15286"
"05.01.2022 10:00 - 05.01.2022 10:15","15295","15315"
"05.01.2022 10:15 - 05.01.2022 10:30","15192","15308"
"05.01.2022 10:30 - 05.01.2022 10:45","15107","15324"
"05.01.2022 10:45 - 05.01.2022 11:00","14994","15256"
"05.01.2022 11:00 - 05.01.2022 11:15","14914","15236"
